filepath_video,filepath_audio,speaker_id
data/processed/attempt2_standardized_subset/id04589/INumeWljuQI/00177_video.mp4,data/processed/attempt2_standardized_subset/id04589/INumeWljuQI/00177_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/INumeWljuQI/00176_video.mp4,data/processed/attempt2_standardized_subset/id04589/INumeWljuQI/00176_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/INumeWljuQI/00178_video.mp4,data/processed/attempt2_standardized_subset/id04589/INumeWljuQI/00178_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/INumeWljuQI/00175_video.mp4,data/processed/attempt2_standardized_subset/id04589/INumeWljuQI/00175_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/INumeWljuQI/00179_video.mp4,data/processed/attempt2_standardized_subset/id04589/INumeWljuQI/00179_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/_Q73JRifSXk/00325_video.mp4,data/processed/attempt2_standardized_subset/id04589/_Q73JRifSXk/00325_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/QVw_7dHDL_8/00218_video.mp4,data/processed/attempt2_standardized_subset/id04589/QVw_7dHDL_8/00218_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/QVw_7dHDL_8/00215_video.mp4,data/processed/attempt2_standardized_subset/id04589/QVw_7dHDL_8/00215_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/QVw_7dHDL_8/00213_video.mp4,data/processed/attempt2_standardized_subset/id04589/QVw_7dHDL_8/00213_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/QVw_7dHDL_8/00214_video.mp4,data/processed/attempt2_standardized_subset/id04589/QVw_7dHDL_8/00214_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/QVw_7dHDL_8/00217_video.mp4,data/processed/attempt2_standardized_subset/id04589/QVw_7dHDL_8/00217_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/QVw_7dHDL_8/00216_video.mp4,data/processed/attempt2_standardized_subset/id04589/QVw_7dHDL_8/00216_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/Seunu_F0G8M/00245_video.mp4,data/processed/attempt2_standardized_subset/id04589/Seunu_F0G8M/00245_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/E0RogI7wadw/00114_video.mp4,data/processed/attempt2_standardized_subset/id04589/E0RogI7wadw/00114_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/E0RogI7wadw/00115_video.mp4,data/processed/attempt2_standardized_subset/id04589/E0RogI7wadw/00115_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/E0RogI7wadw/00116_video.mp4,data/processed/attempt2_standardized_subset/id04589/E0RogI7wadw/00116_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/cG4FJ7wp2z4/00366_video.mp4,data/processed/attempt2_standardized_subset/id04589/cG4FJ7wp2z4/00366_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/cG4FJ7wp2z4/00360_video.mp4,data/processed/attempt2_standardized_subset/id04589/cG4FJ7wp2z4/00360_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/cG4FJ7wp2z4/00361_video.mp4,data/processed/attempt2_standardized_subset/id04589/cG4FJ7wp2z4/00361_audio.wav,id04589
data/processed/attempt2_standardized_subset/id04589/cG4FJ7wp2z4/00369_video.mp4,data/processed/attempt2_standardized_subset/id04589/cG4FJ7wp2z4/00369_audio.wav,id04589
