filepath,speaker_id,utterance_id
data/raw/dev/mp4/id04589/INumeWljuQI/00175.mp4,id04589,INumeWljuQI
data/raw/dev/mp4/id04589/INumeWljuQI/00176.mp4,id04589,INumeWljuQI
data/raw/dev/mp4/id04589/INumeWljuQI/00177.mp4,id04589,INumeWljuQI
data/raw/dev/mp4/id04589/INumeWljuQI/00179.mp4,id04589,INumeWljuQI
data/raw/dev/mp4/id04589/INumeWljuQI/00178.mp4,id04589,INumeWljuQI
data/raw/dev/mp4/id04589/_Q73JRifSXk/00328.mp4,id04589,_Q73JRifSXk
data/raw/dev/mp4/id04589/_Q73JRifSXk/00329.mp4,id04589,_Q73JRifSXk
data/raw/dev/mp4/id04589/_Q73JRifSXk/00327.mp4,id04589,_Q73JRifSXk
data/raw/dev/mp4/id04589/_Q73JRifSXk/00333.mp4,id04589,_Q73JRifSXk
data/raw/dev/mp4/id04589/_Q73JRifSXk/00332.mp4,id04589,_Q73JRifSXk
data/raw/dev/mp4/id04589/_Q73JRifSXk/00326.mp4,id04589,_Q73JRifSXk
data/raw/dev/mp4/id04589/_Q73JRifSXk/00330.mp4,id04589,_Q73JRifSXk
data/raw/dev/mp4/id04589/_Q73JRifSXk/00325.mp4,id04589,_Q73JRifSXk
data/raw/dev/mp4/id04589/_Q73JRifSXk/00331.mp4,id04589,_Q73JRifSXk
data/raw/dev/mp4/id04589/_Q73JRifSXk/00335.mp4,id04589,_Q73JRifSXk
data/raw/dev/mp4/id04589/_Q73JRifSXk/00334.mp4,id04589,_Q73JRifSXk
data/raw/dev/mp4/id04589/29bjD3t99TU/00008.mp4,id04589,29bjD3t99TU
data/raw/dev/mp4/id04589/QVw_7dHDL_8/00213.mp4,id04589,QVw_7dHDL_8
data/raw/dev/mp4/id04589/QVw_7dHDL_8/00217.mp4,id04589,QVw_7dHDL_8
data/raw/dev/mp4/id04589/QVw_7dHDL_8/00216.mp4,id04589,QVw_7dHDL_8
data/raw/dev/mp4/id04589/QVw_7dHDL_8/00214.mp4,id04589,QVw_7dHDL_8
data/raw/dev/mp4/id04589/QVw_7dHDL_8/00215.mp4,id04589,QVw_7dHDL_8
data/raw/dev/mp4/id04589/QVw_7dHDL_8/00218.mp4,id04589,QVw_7dHDL_8
data/raw/dev/mp4/id04589/_waSa5bgYD4/00356.mp4,id04589,_waSa5bgYD4
data/raw/dev/mp4/id04589/_waSa5bgYD4/00357.mp4,id04589,_waSa5bgYD4
data/raw/dev/mp4/id04589/_waSa5bgYD4/00355.mp4,id04589,_waSa5bgYD4
data/raw/dev/mp4/id04589/_waSa5bgYD4/00354.mp4,id04589,_waSa5bgYD4
data/raw/dev/mp4/id04589/Seunu_F0G8M/00245.mp4,id04589,Seunu_F0G8M
data/raw/dev/mp4/id04589/E0RogI7wadw/00116.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/E0RogI7wadw/00117.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/E0RogI7wadw/00115.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/E0RogI7wadw/00114.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/E0RogI7wadw/00128.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/E0RogI7wadw/00125.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/E0RogI7wadw/00119.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/E0RogI7wadw/00118.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/E0RogI7wadw/00124.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/E0RogI7wadw/00126.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/E0RogI7wadw/00127.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/E0RogI7wadw/00123.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/E0RogI7wadw/00122.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/E0RogI7wadw/00120.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/E0RogI7wadw/00121.mp4,id04589,E0RogI7wadw
data/raw/dev/mp4/id04589/YHbJZlCStsA/00289.mp4,id04589,YHbJZlCStsA
data/raw/dev/mp4/id04589/l4addcM2vwA/00388.mp4,id04589,l4addcM2vwA
data/raw/dev/mp4/id04589/l4addcM2vwA/00389.mp4,id04589,l4addcM2vwA
data/raw/dev/mp4/id04589/l4addcM2vwA/00387.mp4,id04589,l4addcM2vwA
data/raw/dev/mp4/id04589/l4addcM2vwA/00386.mp4,id04589,l4addcM2vwA
data/raw/dev/mp4/id04589/l4addcM2vwA/00385.mp4,id04589,l4addcM2vwA
data/raw/dev/mp4/id04589/cG4FJ7wp2z4/00365.mp4,id04589,cG4FJ7wp2z4
data/raw/dev/mp4/id04589/cG4FJ7wp2z4/00371.mp4,id04589,cG4FJ7wp2z4
data/raw/dev/mp4/id04589/cG4FJ7wp2z4/00370.mp4,id04589,cG4FJ7wp2z4
data/raw/dev/mp4/id04589/cG4FJ7wp2z4/00364.mp4,id04589,cG4FJ7wp2z4
data/raw/dev/mp4/id04589/cG4FJ7wp2z4/00366.mp4,id04589,cG4FJ7wp2z4
data/raw/dev/mp4/id04589/cG4FJ7wp2z4/00367.mp4,id04589,cG4FJ7wp2z4
data/raw/dev/mp4/id04589/cG4FJ7wp2z4/00363.mp4,id04589,cG4FJ7wp2z4
data/raw/dev/mp4/id04589/cG4FJ7wp2z4/00362.mp4,id04589,cG4FJ7wp2z4
data/raw/dev/mp4/id04589/cG4FJ7wp2z4/00360.mp4,id04589,cG4FJ7wp2z4
data/raw/dev/mp4/id04589/cG4FJ7wp2z4/00361.mp4,id04589,cG4FJ7wp2z4
data/raw/dev/mp4/id04589/cG4FJ7wp2z4/00369.mp4,id04589,cG4FJ7wp2z4
data/raw/dev/mp4/id04589/cG4FJ7wp2z4/00368.mp4,id04589,cG4FJ7wp2z4
data/raw/dev/mp4/id04589/lg6ATeWaihU/00393.mp4,id04589,lg6ATeWaihU
data/raw/dev/mp4/id04589/lg6ATeWaihU/00392.mp4,id04589,lg6ATeWaihU
data/raw/dev/mp4/id04589/lg6ATeWaihU/00390.mp4,id04589,lg6ATeWaihU
